forecast_hour,mae,rmse,mean_actual,mean_predicted
1,21.13067930527502,28.95112096336796,70.09570853822083,69.90648373496411
2,21.06139816318178,28.923707780102436,70.123580688422,70.05262699106281
3,21.174154578423188,29.20438002754303,70.1483236477425,70.13814563086584
4,21.36261312536938,29.561560783856564,70.17291014751899,70.17399149967682
5,21.547788547574868,29.83639075782797,70.19541797049621,70.12409552898741
6,21.74350207258598,30.119895904708816,70.21812695574431,70.12174264411131
7,21.93834799200206,30.40891443188401,70.23974072418417,70.23628776993033
8,22.234177495735548,30.800613231993292,70.2638131426017,70.30978897552833
9,22.401222371755956,30.981943641096706,70.29132767098794,70.1783318597381
10,22.449859051298674,30.980513214692465,70.31656236030398,70.07033581071948
11,22.456785925525825,31.040914289711417,70.34027715690658,70.12279198051365
12,22.5950553983391,31.257756730777018,70.35956638354939,70.18475868503211
13,22.870618311978486,31.57032780108565,70.37494412159141,70.26244687400514
14,23.106163419790942,31.80146050891152,70.38788556101923,70.15032753065945
15,23.247519293383867,31.90225554417171,70.39903889137237,70.02615485361426
16,23.283717416752353,31.9400723840851,70.40713008493518,69.94698426326939
17,23.146536815488794,31.820017405381435,70.41747876620475,69.85279957096982
18,23.200207405090953,31.86635218264649,70.43877961555654,69.68074184217691
19,23.220603939671935,31.93620016482854,70.46363433169424,69.47477087873405
20,23.285902488124414,32.017694477720966,70.49376396960216,69.30696501036279
21,23.23284746048492,31.99864745750721,70.52626285203398,69.28658182094573
22,22.997476377673582,31.820552491754338,70.56133214126062,69.28545182392513
23,22.92191415325232,31.77999678574796,70.60096110862763,69.26643310947777
24,22.981451976717885,31.834886880189057,70.64403218596335,69.1706132928704
25,23.055584382569943,31.86732342096381,70.68663388466696,69.16069404800463
26,23.222270780143752,32.085674266758296,70.72668752793919,69.19402784435728
27,23.487170616952522,32.54026890867196,70.76410371032632,69.24937972226964
28,23.716450115698162,33.00653243995576,70.79993294590969,69.29532851709324
29,23.918963394778984,33.325674574620315,70.83573983012963,69.29315744750353
30,23.999203887652023,33.43992032153986,70.87923558337057,69.25827345914753
31,24.030712859750064,33.40845372492937,70.92172552525703,69.40469284300165
32,24.018922741805824,33.36071842363808,70.96781403665624,69.53916524597557
33,23.96649267356779,33.2266433622633,71.02042914617792,69.55526092411684
34,23.75165954440108,32.91119085127255,71.06792579347339,69.55095698989301
35,23.562306901100303,32.73554740259463,71.09628967367009,69.67923732539792
36,23.56835050679659,32.846541788275275,71.11459544032185,69.82812994357681
37,23.78546472397751,33.09300476657234,71.12559231113099,69.9327834908672
38,24.018428943578773,33.28536411796376,71.13361645060348,69.86230466379301
39,24.214639277660577,33.4814414681163,71.13991953509164,69.66556905984373
40,24.210970092223796,33.563100934848386,71.14666964684845,69.49530158318302
41,23.979903799112456,33.38409031940838,71.15540902995082,69.30629439018892
42,23.94818558876562,33.3778985992247,71.17004917299955,68.97677365962606
43,23.906917938558276,33.39201526484799,71.18746088511399,68.66066509353668
44,23.90632389461747,33.340932529408356,71.20898524810013,68.35921285752904
45,23.871588024574564,33.23214380608653,71.23421993741619,68.24646549411636
46,23.725691339344632,33.02913556671737,71.26133214126061,68.17643224405558
47,23.654215961293,33.00029087696627,71.28958426464014,68.09502210216895
48,23.727301950239955,33.130250133187346,71.31852928028609,68.04495710688036
49,23.7651960183565,33.224221840457936,71.3468261063925,68.14753352387947
50,23.848449782752457,33.49691811648548,71.37507822977201,68.30164925112547
51,24.080743850052812,34.09071980452482,71.40321859633437,68.47561725910116
52,24.393792233459344,34.70626895595333,71.42983907018328,68.64344304439506
53,24.621106138290546,35.153727625804194,71.45630308448816,68.77951528342417
54,24.80603758933911,35.391531983712646,71.48681269557443,68.96694714405052
55,24.85938774609405,35.44207101263862,71.51709879302638,69.25049708274395
56,24.81289398524728,35.39362256078701,71.54734018775146,69.50606415026192
57,24.652869493794537,35.08282084571533,71.57586052749218,69.65202897794065
58,24.35568829584756,34.535128424470415,71.60198927134554,69.6887209222873
59,24.01503560598773,33.98153478521214,71.62749217702279,69.78764570718735
60,23.848629706390312,33.687970609336915,71.64924005364327,69.92818978313507
61,23.917699475799942,33.687429830116315,71.66899865891818,70.05652851863637
62,24.09353951309133,33.8943161020112,71.68806437192669,70.0487177317007
63,24.233286283518215,34.14371018640643,71.70612427358068,69.92844436112686
64,24.28130871546585,34.2893934916187,71.72431828341529,69.81058104344508
65,24.127381274156342,34.248291044966805,71.74362986142155,69.66730146505165
66,24.174375585255884,34.408620175244266,71.76839517210551,69.39138595889587
67,24.242665608584993,34.589515242519795,71.79329459097005,69.08281118115528
68,24.29216174961079,34.62069400215356,71.81678587393831,68.85659103975485
69,24.260090227570974,34.451708098947805,71.83654447921323,68.81372063787467
70,24.02411441308637,34.13756617895614,71.85185516316496,68.81902635570148
71,23.92144461107883,34.00669925854408,71.86537773804201,68.80155756624855
72,23.864559267812076,33.93412097300311,71.87784979883773,68.7513463347045
