feature,importance
surface_pressure,0.29529174446347906
day,0.17100061671684255
month,0.16780431737886176
hour,0.09406282356527054
year,0.07087328460115762
temperature_2m,0.05726948023133474
relative_humidity_2m,0.03744648190605241
day_of_week,0.03679174445653016
wind_speed_10m,0.033575168571998104
wind_direction_10m,0.03053235655653244
is_weekend,0.00459356033256472
precipitation,0.0007584212193760234
